NM_CANDIDATO,SG_PARTIDO,DS_CARGO,DT_DESPESA,SG_UF,ST_TURNO,DT_PRESTACAO_CONTAS,NR_CNPJ_PRESTADOR_CONTA,DS_TIPO_FORNECEDOR,NM_FORNECEDOR,NM_FORNECEDOR_RFB,DS_ORIGEM_DESPESA,DS_DESPESA,VR_DESPESA_CONTRATADA,SQ_DESPESA,SQ_CANDIDATO
MARIA TERESA SAENZ SURITA GUIMARÂES,MDB,Governador,12/08/2022,RR,1,01/11/2022,47395379000140,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE CONTEÚDO,15000,47629001,230001602186
MARIA TERESA SAENZ SURITA GUIMARÂES,MDB,Governador,12/08/2022,RR,1,01/11/2022,47395379000140,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE CONTEÚDO,15000,47628544,230001602186
LEILA GOMES DE BARROS RÊGO,PDT,Governador,15/08/2022,DF,1,28/10/2022,47497181000177,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA.,GOOGLE BRASIL INTERNET LTDA.,Criação e inclusão de páginas na internet,SERVIÇOS DE APLICAÇÃO E HOSPEDAGEM NA INTERNET,50000,48080899,70001615674
MIGUEL DE SOUZA LEÃO COELHO,UNIÃO,Governador,15/08/2022,PE,1,31/10/2022,47422957000190,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO CONTEUDO GOOGLE,50000,48636221,170001604111
WILSON MIRANDA LIMA,UNIÃO,Governador,16/08/2022,AM,2,19/11/2022,47508732000150,Pessoa Jurídica,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO,7700,50813470,40001619528
WILSON MIRANDA LIMA,UNIÃO,Governador,16/08/2022,AM,2,19/11/2022,47508732000150,Pessoa Jurídica,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO,7700,50814301,40001619528
PABLO HENRIQUE COSTA MARÇAL,PROS,Presidente,16/08/2022,BR,1,14/12/2022,47368913000129,Pessoa Jurídica,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,REF IMPULSIONAMENTO REDE PARA PROPAGANDA ELEITORAL,5000,51340623,280001600179
PABLO HENRIQUE COSTA MARÇAL,PROS,Presidente,16/08/2022,BR,1,14/12/2022,47368913000129,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,REF IMPULSIONAMENTO REDE PARA PROPAGANDA ELEITORAL,5000,51340459,280001600179
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO GOOGLE,17500,51602055,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S A,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO FACEBOOK,12500,51601933,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO GOOGLE,17500,51602215,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S A,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO FACEBOOCK,12500,51602257,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S A,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO FACEBOOCK,12500,51601597,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,16/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESP C/ MPULSIONAMENTO GOOGLE,17500,51602081,60001612926
JOSÉ RENATO CASAGRANDE,PSB,Governador,16/08/2022,ES,2,19/11/2022,47552936000199,Pessoa Jurídica,FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,ANUNCIOS CAMPANHA 2022 DE CASAGRANDE GOVERNADOR,30000,50833950,80001649123
WEVERTON ROCHA MARQUES DE SOUSA,PDT,Governador,16/08/2022,MA,1,01/11/2022,47358424000196,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK,6000,48979937,100001599612
WEVERTON ROCHA MARQUES DE SOUSA,PDT,Governador,16/08/2022,MA,1,01/11/2022,47358424000196,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK,6000,48980060,100001599612
WEVERTON ROCHA MARQUES DE SOUSA,PDT,Governador,16/08/2022,MA,1,01/11/2022,47358424000196,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK,6000,48979957,100001599612
WEVERTON ROCHA MARQUES DE SOUSA,PDT,Governador,16/08/2022,MA,1,01/11/2022,47358424000196,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK,6000,48980002,100001599612
WEVERTON ROCHA MARQUES DE SOUSA,PDT,Governador,16/08/2022,MA,1,01/11/2022,47358424000196,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO NO FACEBOOK,6000,48980003,100001599612
MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,PSDB,Governador,16/08/2022,MG,1,01/11/2022,47528999000100,Pessoa Jurídica,THIAGO AUGUSTO TONCOVITCH,THIAGO AUGUSTO TONCOVITCH 05751368983,Despesa com Impulsionamento de Conteúdos,ANALISE DE DADOS,9800,49609761,130001633534
MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,PSDB,Governador,16/08/2022,MG,1,01/11/2022,47528999000100,Pessoa Jurídica,ANA DOS ANJOS CAMARANO CARDOSO,ANA DOS ANJOS CAMARANO CARDOSO 04908661588,Despesa com Impulsionamento de Conteúdos,GESTÃO DE TRÁFEGO,11200,49609823,130001633534
MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,PSDB,Governador,16/08/2022,MG,1,01/11/2022,47528999000100,Pessoa Jurídica,GIGA COMUNICAÇÃO E SOLUÇÕES INTERATIVAS,GIGA COMUNICACAO E SOLUCOES INTERATIVAS EIRELI,Despesa com Impulsionamento de Conteúdos,GESTÃO E MONITORAMENTO,130320,49610159,130001633534
MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,PSDB,Governador,16/08/2022,MG,1,01/11/2022,47528999000100,Pessoa Jurídica,GABRIELA MARCELI MORAIS MACHADO 10343602644,GABRIELA MARCELI MORAIS MACHADO 10343602644,Despesa com Impulsionamento de Conteúdos,INTERAÇÃO NAS REDES SOCIAIS,9800,49609943,130001633534
MARCOS MARCELLO TRAD,PSD,Governador,16/08/2022,MS,1,01/11/2022,47552622000196,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE FACEBOOK,2000,48976077,120001649554
EDUARDO CORREA RIEDEL,PSDB,Governador,16/08/2022,MS,2,18/11/2022,47528571000167,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA.,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO GOOGLE (1.TURNO),20000,50731366,120001635628
MAURO MENDES FERREIRA,UNIÃO,Governador,16/08/2022,MT,1,27/10/2022,47547289000127,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE CONTEUDO,7500,47920096,110001643543
MAURO MENDES FERREIRA,UNIÃO,Governador,16/08/2022,MT,1,27/10/2022,47547289000127,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE CONTEUDO,7500,47920031,110001643543
MAURO MENDES FERREIRA,UNIÃO,Governador,16/08/2022,MT,1,27/10/2022,47547289000127,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE CONTEUDO,7500,47920066,110001643543
MAURO MENDES FERREIRA,UNIÃO,Governador,16/08/2022,MT,1,27/10/2022,47547289000127,Pessoa Jurídica,ADYEN BR LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE CONTEUDO,7500,47919972,110001643543
RAFAEL TAJRA FONTELES,PT,Governador,16/08/2022,PI,1,12/11/2022,47423364000148,Pessoa Jurídica,GOOGLE INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE CONTEÚDOS,5000,50501544,180001604027
MARCOS JOSÉ ROCHA DOS SANTOS,UNIÃO,Governador,16/08/2022,RO,2,18/11/2022,47463685000176,Pessoa Jurídica,VM MARKETING LTDA,VM MARKETING LTDA,Despesa com Impulsionamento de Conteúdos,CONSULTORIA EM MARKETING DIGITAL· ASSESSORIA,422000,50772701,220001609511
MARCOS JOSÉ ROCHA DOS SANTOS,UNIÃO,Governador,16/08/2022,RO,2,18/11/2022,47463685000176,Pessoa Jurídica,GOOGLE INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,MIDIA COM GOOGLE,20000,50772340,220001609511
MARCOS JOSÉ ROCHA DOS SANTOS,UNIÃO,Governador,16/08/2022,RO,2,18/11/2022,47463685000176,Pessoa Jurídica,DLOCAL A SERVIÇO DE FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,MIDIA FACEBOOK,20000,50772006,220001609511
ROBERTO ARGENTA,PSC,Governador,16/08/2022,RS,1,28/10/2022,47470259000160,Pessoa Jurídica,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO,5000,48143477,210001609945
ROBERTO ARGENTA,PSC,Governador,16/08/2022,RS,1,28/10/2022,47470259000160,Pessoa Jurídica,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO,5000,48143322,210001609945
ROBERTO ARGENTA,PSC,Governador,16/08/2022,RS,1,28/10/2022,47470259000160,Pessoa Jurídica,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK,5000,48142857,210001609945
ROBERTO ARGENTA,PSC,Governador,16/08/2022,RS,1,28/10/2022,47470259000160,Pessoa Jurídica,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK,5000,48143156,210001609945
CARLOS EDUARDO DE SOUZA BRAGA,MDB,Governador,17/08/2022,AM,2,30/01/2023,47470044000149,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO GOOGLE,5000,51502216,40001610345
LUIS RICARDO SALDANHA NICOLAU,SOLIDARIEDADE,Governador,17/08/2022,AM,1,25/11/2022,47533841000128,Pessoa Jurídica,DLOCAL A SERVICO D FACEBOOK SE,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE FACEBOOK,20000,51032087,40001639064
CARLOS HUMBERTO MANNATO,PL,Governador,17/08/2022,ES,2,18/11/2022,47579213000183,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO GOOGLE,10000,50737553,80001721262
EDIGAR ANTONIO DINIZ JUNIOR,NOVO,Governador,17/08/2022,GO,1,26/10/2022,47508832000187,Pessoa Jurídica,FACEBOOK SERVIÇOS ONLINE DO BRASIL - LTDA,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,FACEBOOK,"1013,67",47673596,90001618706
WEVERTON ROCHA MARQUES DE SOUSA,PDT,Governador,17/08/2022,MA,1,01/11/2022,47358424000196,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO GOOGLE,3200,48980005,100001599612
EDUARDO CORREA RIEDEL,PSDB,Governador,17/08/2022,MS,2,18/11/2022,47528571000167,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK (1.TURNO),50000,50728753,120001635628
JOÃO AZEVEDO LINS FILHO,PSB,Governador,17/08/2022,PB,2,02/12/2022,47486128000170,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE CONTEÚDOS,8000,51176112,150001613757
JOÃO AZEVEDO LINS FILHO,PSB,Governador,17/08/2022,PB,2,02/12/2022,47486128000170,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE CONTEÚDO,12000,51175984,150001613757
RAFAEL TAJRA FONTELES,PT,Governador,17/08/2022,PI,1,12/11/2022,47423364000148,Pessoa Jurídica,FACEBOOK SERVIÇOS ON LINE DO BRASIL LTDA,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE CONTEÚDOS,5000,50501726,180001604027
FÁBIO BERCKMANS VERAS DANTAS,SOLIDARIEDADE,Governador,17/08/2022,RN,1,01/11/2022,47486730000108,Pessoa Jurídica,FACEBOOK,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,SERVIÇO DE IMPULSIONAMENTO DE CONTEÚDOS,7000,49150612,200001613178
RODRIGO SANTOS CUNHA,UNIÃO,Governador,18/08/2022,AL,2,16/03/2023,47571308000150,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK,20000,51631565,20001695808
JAIME DOMINGUES NUNES,PSD,Governador,18/08/2022,AP,1,06/02/2023,47546958000146,Pessoa Jurídica,FACEBOOOK SERVICOS ONLINE DO BRASIL LTDA,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE CONTEUDO,7000,51518389,30001643108
CLÉCIO LUÍS VILHENA VIEIRA,SOLIDARIEDADE,Governador,18/08/2022,AP,1,01/11/2022,47508599000132,Pessoa Jurídica,FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO DE CONTEÚDO NAS REDES SOCIAIS.,1000,49637343,30001619676
JERÔNIMO RODRIGUES SOUZA,PT,Governador,18/08/2022,BA,2,28/11/2022,47414150000105,Pessoa Jurídica,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE CONTEUDO,7800,51084411,50001603638
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837820,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPSAS COM IMPULSIONAMENTO FACEBOOK,7845,49837955,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837691,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837957,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIOSAMENTO FACEBOOK,7845,49837171,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837586,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837172,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837170,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837444,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,PAGAMENTO REFERENTE A IMPULSIONAMENTOS DE CONTEÚDO,7845,49837587,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837817,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FABENOOK,7845,49837439,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESAS COM IMPULSIONAMENTO FACEBOOK,7845,49837057,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837956,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO FACEBOOK,7845,49837307,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837818,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO FACEBOOK,7845,49837308,280001644128
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIOSAMENTO FACEBOOK,7845,49837309,280001644128
SIMONE NASSAR TEBET,MDB,Presidente,18/08/2022,BR,1,16/12/2022,47453686000130,Pessoa Jurídica,GOOGLE BRASIL INTERNET LTDA.,GOOGLE BRASIL INTERNET LTDA.,Despesa com Impulsionamento de Conteúdos,IMPULSIONAMENTO GOOGLE,841000,51375942,280001607833
SORAYA VIEIRA THRONICKE,UNIÃO,Presidente,18/08/2022,BR,1,01/11/2022,47547890000110,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESPESA COM IMPULSIONAMENTO DE FACEBOOK,7845,49837443,280001644128
SIMONE NASSAR TEBET,MDB,Presidente,18/08/2022,BR,1,16/12/2022,47453686000130,Pessoa Jurídica,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Despesa com Impulsionamento de Conteúdos,ANÚNCIOS PARA FACEBOOK E INSTAGRAM,1659000,51375972,280001607833
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,18/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S A,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO FACEBOOK,12500,51602219,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,18/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S A,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO FACEBOOK,12500,51602057,60001612926
ROBERTO CLÁUDIO RODRIGUES BEZERRA,PDT,Governador,18/08/2022,CE,1,06/03/2023,47486614000199,Pessoa Jurídica,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S A,DLOCAL BRASIL INSTITUICAO DE PAGAMENTO S.A.,Despesa com Impulsionamento de Conteúdos,DESP C/ IMPULSIONAMENTO FACEBOOK,12500,51602142,60001612926
